name_msa,geoid_msa,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11
Omaha-Council Bluffs,36540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,3,2,2,1,1,3,2,1,3,3,1,0,1,1,0,2,6,4,0,0,0,0,1,2,4,4,1,0,0,0,0,1,1,1,2,3,3,1,1,3,3,2,1,0,0,1,6,7,2,2,3,1,4,6,5,3,1,2,4,6,6,3,2,3,1,2,7,10,5
Eureka-Arcata-Fortuna,21700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Sacramento--Roseville--Arden-Arcade,40900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,2,1,1,1,1,1,1,2,1,2,2,1,3,7,7,6,7,3,2,4,2,3,4,10,10,2,2,3,3,2,4,8,6,1,1,3,2,1,2,1,2,2,5,5,1,3,3,2,2,1,2,2,3,3,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,0,1,1,0,0,1,1,0,2,2,1,2,1
Vallejo-Fairfield,46700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,3,4,2,3,4,2,0,0,0,2,3,2,1,0,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Spokane-Spokane Valley,44060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,0,0,1,3,5,4,2,2,1,1,1,0,0,2,4,2,0,0,0,0,0,2,2,0,0,0,0,0,1,1,2,2,0,0,0,1,1,2,5,3,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,1,0,0,2,2,0,0
Salt Lake City,41620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,6,0,0,0,0,0,0,5,5,1,3,2,3,4,2,4,5,2,0,4,4,1,2,1,1,1,4,7,4,1,5,5,4,7,4,1,3,3,1,1,6,6,3,3,3,3,0,2,3,1,0,3,3,0,0,4,4,3,3,0,2,4,2,2,2
Napa,34900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Rosa,42220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portland-Vancouver-Hillsboro,38900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,2,0,0,0,1,4,4,3,3,2,1,2,3,2,4,3,3,4,5,7,8,8,8,7,3,3,3,3,6,8,5,2,1,3,3,6,8,4,4,5,8,7,3,2,3,2,0,5,7,5,3,2,2,2,2,1,4,4,1,0,0,0,4,4,1,1,1,1,0,0,2,2,0,0,0,3,5,2,3,5,2,1,3,2,2,2
Tampa-St. Petersburg-Clearwater,45300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5,5,1,1,1,3,4,1,1,1,4,5,3,8,9,6,3,3,3,0,3,4,1,0,3,4,6,7,2,0,3,11,12,9,8,6,6,6,8,12,17,14,4,1,3,6,8,8,6,7,7,5,14,16,6,7,10,4,0,1,5,10,11,7,2,1,10,12,5,9,9,2,1,7,8,5,3
North Port-Sarasota-Bradenton,35840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,2,3,5,4,0,0,2,4,4,7,7,4,2,4,10,7,2,15,17,3,7,10,4,7,9,3,0,0,11,17,12,10,9,5,0,3,7,10,13,12,5,0,0,1,4,5,4,2,0,6,10,10,11,9,4,0,0,5,8,4,2,1,0,4,4,4,12,8,0,0,7,10,6,3
Atlanta-Sandy Springs-Roswell,12060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,5,8,9,3,5,5,0,14,21,8,12,22,26,28,27,21,14,30,40,26,26,24,10,8,23,40,44,37,40,30,12,39,54,32,20,23,15,8,44,55,44,49,45,26,7,31,49,43,32,36,27,3,17,47,42,25,40,31,7,24,41,27,63,73,23,7,17,49,60,53,34,15,36,52,28,19,30,28,17,5,14,68,78,49,26
Claremont-Lebanon,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walla Walla,47460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raleigh,39580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,2,2,1,0,0,0,6,9,5,4,5,3,0,8,12,6,3,3,2,2,8,7,3,3,5,4,2,4,3,1,1,2,1,1,2,3,4,3,1,0,0,2,2,3,3,0,0,1,2,3,3,3,4,2,0,2,3,1,0,0,0,1,2,1,1,1
New York-Newark-Jersey City,35620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,3,7,6,7,13,18,17,18,33,55,61,65,92,62,87,174,252,426,427,862,768,414,815,902,817,838,919,828,663,836,1051,1012,788,491,854,958,826,931,808,767,735,541,377,655,843,890,856,610,458,307,439,1015,958,449,369,390,276,307,433,444,426,328,267,226,248,329,281,245,228,163,108,93,204,214,184,222,181,96,78,156,179,138,116,121,107,114,126,105,52
Houston-The Woodlands-Sugar Land,26420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,4,5,4,6,7,12,12,6,8,15,16,16,12,6,9,16,20,16,13,11,11,12,8,4,7,9,10,10,15,21,16,15,20,20,14,15,16,14,14,16,20,16,14,14,11,13,8,13,15,3,3,8,13,11,7,4,1,2,6,5,5,15,12,4,5,9,15,16,15,10,7,5,9,8,0
Denver-Aurora-Lakewood,19740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,6,4,1,12,19,18,20,14,13,14,31,33,23,33,30,19,14,20,31,26,17,25,22,25,48,59,47,92,80,9,15,36,40,22,41,39,11,10,44,57,30,28,21,8,11,26,63,74,77,88,57,28,36,61,41,19,16,8,6,15,51,60,34,16,4,8,16,24,32,26,13,3,13,22,27,26,8
