states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,interval_start
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-21
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-21
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0.0,2020-02-21
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-21
18,IN,IN,31500,Madison,0,0.0,2020-02-21
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0.0,2020-02-21
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-21
48,TX,TX,41700,San Antonio-New Braunfels,2,0.0,2020-02-21
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-21
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-22
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0.0,2020-02-22
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-22
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-22
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-22
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-22
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0.0,2020-02-22
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-22
18,IN,IN,31500,Madison,0,0.0,2020-02-22
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0.0,2020-02-22
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-22
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-22
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-22
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-23
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0.0,2020-02-23
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-23
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-23
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-23
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-23
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0.0,2020-02-23
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-23
18,IN,IN,31500,Madison,0,0.0,2020-02-23
19,IA,IA-NE,36540,Omaha-Council Bluffs,0,0.0,2020-02-23
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-23
48,TX,TX,41700,San Antonio-New Braunfels,0,0.0,2020-02-23
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-23
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-24
6,CA,CA,46700,Vallejo-Fairfield,1,0.0,2020-02-24
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0.0,2020-02-24
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-24
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0.0,2020-02-24
6,CA,CA,41860,San Francisco-Oakland-Hayward,1,0.0,2020-02-24
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-24
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-24
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,0,0.0,2020-02-24
18,IN,IN,31500,Madison,0,0.0,2020-02-24
19,IA,IA-NE,36540,Omaha-Council Bluffs,1,0.0,2020-02-24
25,MA,MA-NH,14460,Boston-Cambridge-Newton,0,0.0,2020-02-24
48,TX,TX,41700,San Antonio-New Braunfels,6,0.0,2020-02-24
53,WA,WA,42660,Seattle-Tacoma-Bellevue,0,0.0,2020-02-24
53,WA,WA,44060,Spokane-Spokane Valley,4,0.0,2020-02-24
4,AZ,AZ,38060,Phoenix-Mesa-Scottsdale,0,0.0,2020-02-25
6,CA,CA,46700,Vallejo-Fairfield,0,0.0,2020-02-25
6,CA,CA,31080,Los Angeles-Long Beach-Anaheim,0,0.0,2020-02-25
6,CA,CA,21700,Eureka-Arcata-Fortuna,0,0.0,2020-02-25
6,CA,CA,40900,Sacramento--Roseville--Arden-Arcade,0,0.0,2020-02-25
6,CA,CA,41860,San Francisco-Oakland-Hayward,0,0.0,2020-02-25
6,CA,CA,41940,San Jose-Sunnyvale-Santa Clara,0,0.0,2020-02-25
6,CA,CA,41740,San Diego-Carlsbad,0,0.0,2020-02-25
