states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,group
8,CO,CO,44460,Steamboat Springs,3,1,2020-05-02
8,CO,CO,22820,Fort Morgan,101,5,2020-05-02
8,CO,CO,24540,Greeley,318,13,2020-05-02
8,CO,CO,22660,Fort Collins,69,0,2020-05-02
9,CT,CT,45860,Torrington,128,20,2020-05-02
9,CT,CT,35300,New Haven-Milford,1191,153,2020-05-02
9,CT,CT,25540,Hartford-West Hartford-East Hartford,1370,226,2020-05-02
9,CT,CT-MA,49340,Worcester,1891,146,2020-05-02
9,CT,CT,14860,Bridgeport-Stamford-Norwalk,1418,178,2020-05-02
9,CT,CT,35980,Norwich-New London,172,12,2020-05-02
10,DE,DE-NJ-PA-MD,37980,Philadelphia-Camden-Wilmington,10165,1031,2020-05-02
10,DE,DE-MD,41540,Salisbury,880,37,2020-05-02
10,DE,DE,20100,Dover,212,11,2020-05-02
11,DC,DC-VA-MD-WV,47900,Washington-Arlington-Alexandria,9944,484,2020-05-02
12,FL,FL,23540,Gainesville,561,6,2020-05-02
12,FL,FL,36100,Ocala,32,1,2020-05-02
12,FL,FL,19660,Deltona-Daytona Beach-Ormond Beach,53,10,2020-05-02
12,FL,FL,36740,Orlando-Kissimmee-Sanford,206,11,2020-05-02
12,FL,FL,33100,Miami-Fort Lauderdale-West Palm Beach,2845,228,2020-05-02
12,FL,FL,26140,Homosassa Springs,5,0,2020-05-02
12,FL,FL,37340,Palm Bay-Melbourne-Titusville,39,1,2020-05-02
12,FL,FL,45300,Tampa-St. Petersburg-Clearwater,384,35,2020-05-02
12,FL,FL,35840,North Port-Sarasota-Bradenton,218,30,2020-05-02
12,FL,FL,29460,Lakeland-Winter Haven,123,9,2020-05-02
12,FL,FL,37460,Panama City,4,0,2020-05-02
12,FL,FL,28580,Key West,10,0,2020-05-02
12,FL,FL,29380,Lake City,38,0,2020-05-02
12,FL,FL,38940,Port St. Lucie,79,2,2020-05-02
12,FL,FL,37860,Pensacola-Ferry Pass-Brent,117,7,2020-05-02
12,FL,FL,27260,Jacksonville,177,12,2020-05-02
12,FL,FL,15980,Cape Coral-Fort Myers,182,23,2020-05-02
12,FL,FL,36380,Okeechobee,11,0,2020-05-02
12,FL,FL,11580,Arcadia,17,1,2020-05-02
12,FL,FL,45220,Tallahassee,57,3,2020-05-02
12,FL,FL,45540,The Villages,25,0,2020-05-02
12,FL,FL,18880,Crestview-Fort Walton Beach-Destin,30,3,2020-05-02
12,FL,FL,17500,Clewiston,44,2,2020-05-02
12,FL,FL,37260,Palatka,18,3,2020-05-02
12,FL,FL,34940,Naples-Immokalee-Marco Island,124,6,2020-05-02
12,FL,FL,39460,Punta Gorda,73,11,2020-05-02
12,FL,FL,42680,Sebastian-Vero Beach,9,0,2020-05-02
12,FL,FL,42700,Sebring,14,1,2020-05-02
13,GA,GA,27600,Jefferson,26,1,2020-05-02
13,GA,GA,47580,Warner Robins,65,1,2020-05-02
13,GA,GA-TN,16860,Chattanooga,101,0,2020-05-02
13,GA,GA,41220,St. Marys,5,0,2020-05-02
13,GA,GA,44340,Statesboro,4,0,2020-05-02
13,GA,GA,10500,Albany,133,10,2020-05-02
13,GA,GA,46660,Valdosta,36,2,2020-05-02
13,GA,GA,18460,Cornelia,60,8,2020-05-02
13,GA,GA,18380,Cordele,15,3,2020-05-02
13,GA,GA,40660,Rome,12,1,2020-05-02
13,GA,GA,16340,Cedartown,6,0,2020-05-02
13,GA,GA,27700,Jesup,0,0,2020-05-02
13,GA,GA,19140,Dalton,53,2,2020-05-02
13,GA,GA,45580,Thomaston,25,6,2020-05-02
13,GA,GA,31420,Macon,87,6,2020-05-02
13,GA,GA,11140,Americus,24,4,2020-05-02
13,GA,GA,20140,Dublin,34,0,2020-05-02
13,GA,GA,12060,Atlanta-Sandy Springs-Roswell,2873,115,2020-05-02
13,GA,GA,20060,Douglas,34,2,2020-05-02
13,GA,GA-SC,12260,Augusta-Richmond County,96,5,2020-05-02
13,GA,GA,12460,Bainbridge,22,1,2020-05-02
13,GA,GA,29300,LaGrange,35,1,2020-05-02
13,GA,GA,45700,Tifton,30,1,2020-05-02
13,GA,GA,45740,Toccoa,12,0,2020-05-02
13,GA,GA,25980,Hinesville,7,0,2020-05-02
13,GA,GA,12020,Athens-Clarke County,42,1,2020-05-02
13,GA,GA,42340,Savannah,76,4,2020-05-02
13,GA,GA,22340,Fitzgerald,13,0,2020-05-02
13,GA,GA,33300,Milledgeville,121,5,2020-05-02
13,GA,GA,15260,Brunswick,19,0,2020-05-02
13,GA,GA,45620,Thomasville,52,7,2020-05-02
13,GA,GA,15660,Calhoun,8,3,2020-05-02
13,GA,GA,44900,Summerville,1,0,2020-05-02
13,GA,GA,47080,Vidalia,11,0,2020-05-02
13,GA,GA,34220,Moultrie,20,2,2020-05-02
15,HI,HI,28180,Kapaa,0,0,2020-05-02
15,HI,HI,25900,Hilo,3,0,2020-05-02
15,HI,HI,27980,Kahului-Wailuku-Lahaina,2,1,2020-05-02
15,HI,HI,46520,Urban Honolulu,8,0,2020-05-02
16,ID,ID-UT,30860,Logan,10,0,2020-05-02
16,ID,ID,39940,Rexburg,7,0,2020-05-02
16,ID,ID,17660,Coeur d'Alene,1,0,2020-05-02
16,ID,ID,25200,Hailey,8,0,2020-05-02
16,ID,ID-WA,30300,Lewiston,18,1,2020-05-02
16,ID,ID,14260,Boise City,61,3,2020-05-02
16,ID,ID,15420,Burley,4,0,2020-05-02
16,ID,ID,41760,Sandpoint,0,0,2020-05-02
16,ID,ID,26820,Idaho Falls,2,0,2020-05-02
16,ID,ID,34140,Moscow,0,0,2020-05-02
16,ID,ID,13940,Blackfoot,0,0,2020-05-02
16,ID,ID-OR,36620,Ontario,5,1,2020-05-02
16,ID,ID-WY,27220,Jackson,512,14,2020-05-02
16,ID,ID,46300,Twin Falls,85,0,2020-05-02
16,ID,ID,38540,Pocatello,1,0,2020-05-02
17,IL,IL,45380,Taylorville,2,0,2020-05-02
17,IL,IL,20820,Effingham,2,0,2020-05-02
17,IL,IL-MO,41180,St. Louis,1696,237,2020-05-02
17,IL,IL,28100,Kankakee,129,4,2020-05-02
17,IL,IL,23660,Galesburg,24,0,2020-05-02
17,IL,IL,19180,Danville,16,0,2020-05-02
17,IL,IL-IA,19340,Davenport-Moline-Rock Island,191,8,2020-05-02
17,IL,IL,19940,Dixon,40,0,2020-05-02
17,IL,IL-IA-MO,22800,Fort Madison-Keokuk,57,0,2020-05-02
17,IL,IL,23300,Freeport,44,0,2020-05-02
17,IL,IL,16580,Champaign-Urbana,117,0,2020-05-02
17,IL,IL,44100,Springfield,1003,90,2020-05-02
17,IL,IL,36860,Ottawa-Peru,52,5,2020-05-02
17,IL,IL-IN-WI,16980,Chicago-Naperville-Elgin,20921,904,2020-05-02
17,IL,IL,31380,Macomb,31,2,2020-05-02
17,IL,IL,14010,Bloomington,40,1,2020-05-02
17,IL,IL,34500,Mount Vernon,15,3,2020-05-02
17,IL,IL-IA,15460,Burlington,71,4,2020-05-02
