geoid,name,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07
34940,Naples-Immokalee-Marco Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,0,0,1,1,0,4,1,0,0,0,1,1,2,2,0,0,1,3,2,0,0,0,0,1,4,2,1,2,0,0,0,3,0,1,1,3,0,1,0,0,3,0,0,0,0,0,0,4,2,1,0,1,0,0,2,0,1,0,0,0,0,1,0,3,0,0,1,2,3,0,0,1,0,3,7,1,3,0,0,0,0,0,0,6,3,0,0,2,3,1,4,1,2,0,2,5,0,3,0,0,1,2,0,1,1,2,0,0,5,0,1,1,2,3,0,7,3,2,3,0,1,2,5,1,1,1,1,0,0,3,4,2,2,2,0,0,1,3,0,1,1,2,0,0,3,1,4,0,0,0,1,1,2,5,1,0,0,3,3,3,0,5,0,0,2,3,3,1,3,0,0,0,2,2,2,0,3,0,2,0,3,1,1,1,1,3,0,0,2,2,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,1,1,4,2,0,0,0,0,1,0,1,4,0,3,0,3,0,0,1,0,0,0,1,3,1,4,4,1,1,4,4,0,3,2,0,2,0,2,2,1,0,2,0,4,1,3,0,1,0,2,3,2,0,0,7,0,2,5,4,4,6,1,2,0,0,4,3,1,4,1,1,4,1,4,0,0,0,8,2,2,4,1,1,0,0,6,3,1,5,1,0
17140,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,4,2,2,8,6,16,8,2,5,8,2,5,14,6,6,10,9,5,5,21,15,6,9,9,5,2,17,17,6,14,9,4,11,10,20,8,8,7,3,8,11,5,3,8,9,2,8,12,5,13,4,7,0,1,2,12,12,23,4,2,7,7,13,5,5,1,0,1,3,2,11,2,2,1,3,5,1,1,5,6,1,3,2,3,4,4,1,0,2,11,0,3,1,0,1,2,13,4,3,2,0,2,1,2,2,5,5,4,7,2,3,3,11,6,2,1,14,3,10,4,9,1,1,2,4,4,8,6,4,1,1,4,4,1,8,8,1,1,4,4,5,3,3,2,0,0,8,5,1,2,0,4,5,2,6,3,0,0,0,3,7,6,12,3,1,1,20,9,5,3,1,1,1,3,16,12,3,1,1,0,12,9,8,20,0,1,1,2,4,2,3,2,1,3,6,4,3,3,3,1,2,0,14,4,4,2,0,1,5,7,3,4,5,3,4,9,4,3,0,5,1,6,12,9,10,9,3,1,0,8,22,10,9,4,5,3,13,12,3,6,7,5,8,17,19,18,19,8,1,8,24,16,18,9,11,6,3,17,36,20,8,15,16,23,31,12,16,6,7,1,6,10,8,10,12,6,6,18,22,27,27,14,4,0,4,22,36,15,11,11,4,4,12,21,14,12,6,8,8,20,21,9,19,22,3,7,24,20,116,14,17,6
19820,Detroit-Warren-Dearborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,7,6,19,16,23,18,16,59,64,63,76,52,50,69,91,100,95,95,175,89,76,99,134,133,154,104,59,76,51,206,97,135,76,162,32,60,136,86,90,41,134,24,53,35,48,71,36,109,18,16,72,27,52,23,44,5,14,79,27,48,14,51,1,6,9,50,17,27,46,23,11,24,17,18,203,26,1,6,22,8,17,3,18,1,1,11,2,11,1,13,1,3,5,3,15,1,12,4,1,24,3,7,2,0,0,2,20,4,3,10,20,1,4,2,1,14,5,7,1,4,5,4,5,4,2,0,2,6,3,13,4,1,0,3,5,2,19,12,2,0,3,5,3,8,3,11,3,1,10,3,10,0,10,1,3,9,3,11,3,14,2,2,9,10,10,5,2,0,2,1,50,18,5,3,0,4,8,5,6,1,9,0,6,8,10,5,6,9,0,2,9,5,10,3,10,0,3,11,4,9,5,9,0,2,7,6,17,4,1,0,17,3,11,18,4,13,0,6,4,5,10,1,12,0,0,13,4,16,10,22,0,11,23,3,9,46,24,0,9,21,12,41,14,31,0,10,57,19,1,50,40,0,25,52,24,67,26,67,0,12,76,21,73,17,71,0,28,69,23,85,11,88,0,14,61,31,0,0,112,0,9,91,18,2,1,110,0,25,62,14,96,10,124,0,11,45,8,76,13,52,0,8,19,19,71,3,100,0,14,34,4,46,2,54,0,2,39,15,44,7,48,0
43620,Sioux Falls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2,4,4,0,0,0,3,5,2,0,3,0,0,5,0,4,1,0,0,0,1,0,0,3,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,0,0,0,0,2,0,4,0,0,0,2,7,3,2,0,1,0,0,4,1,5,2,0,3,0,3,4,4,3,0,0,1,10,3,0,1,0,5,6,8,12,3,5,0,1,3,0,1,21,6,0,0,7,8,3,5,10,0,0,8,0,13,15,0,0,1,12,6,10,3,1,0,0,5,8,6,10,5,0,0,5,0,3,5,5,5,0,1,7,0,2,0,0,0,5,6,0,3,4,0,0,1,6,5,3,1,0,0,5,0,1,3,4,0,0,0,0,0,3,3,0,0,8,6,0,1,0,0,0,1,1,4,3,1
33580,Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,2,0,2,5,4,0,0,2,0,2,5,0,0,0,5,0,0,0,2,0,0,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
26700,Huron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28700,Kingsport-Bristol-Bristol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,0,2,0,1,0,0,4,3,0,2,0,0,5,2,0,1,0,0,2,3,2,1,5,0,0,1,1,1,4,6,0,1,0,0,1,0,1,0,0,0,1,2,3,7,6,2,1,1,1,2,5,2,0,1,2,1,2,5,1,0,0,4,1,2,0,0,2,1,1,0,1,0,2,0,3,3,2,2,0,4,1,1,5,2,2,4,2,1,1,4,1,4,8,2,0,4,13,0,8,3,8,0,1,11,4,1,4,2,3,1,2,4,15,4,1,2,2,5,7,5,0,0,1,6,3,9,11,7,4,3,5,11,5,3,6,9,5,9,16,3,5,17,5,4,1,18,6,1,0,0,9,6,12,9,3,3,6,3,18,10,13,1,8,8,4,4,5,8,5,4,1,3,3,4,2,14,7,7,1,6,18,5,8,4,7,8,9,6,6,5,4,5,1
34580,Mount Vernon-Anacortes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0
13380,Bellingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,0,0,1,1,0,0,6,4,0,1,1,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,3,1,0,0,0,1,0,1,2,1,0,0
38220,Pine Bluff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,2,0,4,1,0,1,3,3,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,1,0,2,0,1,0,0,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,3,0,1,3,0,0,1,0,2,0,1,0,2,1,0,0,1,1,2,0,0,8,0,0,1,1,0,1,0,1,1,3,3,2,4,2,2,1,1,2,2,2,1,1,1,2,1,1,2,2,2,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,2,0,1,0,0,0,2,0,0,0,1,1,0,0,0,3,1,1,1,0,2,3,0,0,1,1,1,0,0,1,1,0,0,0,0,3,3,0,0,4,1,1,3,0,4,0,0,1,1,0,4,1,1,0,2,0,0,2,4,3,0,0,2,1,2,3,0,1,0,0,3,1,3,0,2,1,1
33700,Modesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1,2,0,1,0,1,0,2,0,2,0,2,0,1,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,1,0,0,3,0,1,2,0,0,0,1,0,0,5,0,1,0,0,0,6,4,0,2,0,0,8,2,4,2,7,1,3,5,3,5,1,0,6,2,14,9,10,6,10,1,1,6,8,5,5,8,3,0,0,5,9,11,3,2,1,3,5,3,5,8,2,0,3,4,5,6,9,0,7,1,5,4,4,7,0,0,0,7,0,8,4,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,2,2,3,2,2,2,1,1,1,1,1,1,2,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,2,0,0,1,1,1,0,1,0,0,1,1,0,2,1,0,0,2,2,2,0,2,0,0,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,5,7,9,10,8,6,10,11,12,9,0,7,6,8,10,12,8,0,8,0,7,7,11,8,8,10,0,11,13,10,11,10,9,0,10,9,8,7,9,6,0,8,7,5,7,7,6,0,6,8,6,5,4,4,0
24060,Glenwood Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,0,2,1,0,0,7,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
10500,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,0,4,0,0,7,10,0,2,9,3,1,1,0,3,24,16,6,9,2,4,0,6,1,6,5,7,1,0,17,7,3,5,1,0,0,8,4,4,3,3,1,0,3,3,1,1,0,1,0,4,6,2,2,3,0,0,1,6,2,1,1,2,0,1,3,3,1,0,1,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,2,0,0,4,1,0,2,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,0,0,1,0,1,1,1,0,1,2,1,2,2,3,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,1,1,0,1,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,2,2,2,0,0,0,9,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,2,1,2,1,1,0,0,0,2,0,0,0,4,1,1,0,1,0,0,2,2,2,0,0,0,0,0,4,0,2,0,0,0,0,1,0,1,0,0,0,1,2,1,1,1,4,1,0,3,1,4,15,10,0,0,4,7,2,6,2,0,1,3,3,1,1,1,0,2,4,1,8,2,4,0
46660,Valdosta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,1,0,0,0,2,1,0,0,0,0,0,2,0,0,3,1,0,0,1,1,0,1,0,0,0,3,1,0,1,3,0,0,2,1,2,5,2,0,0,4,0,4,3,4,0,0,1,3,2,0,1,1,0,2,0,2,2,2,0,1,2,2,2,1,2,0,2,0,1,4,1,0,3,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,36,0,0,0,0,0,0,1,0,0,2,0,0,1,2,1,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,3,1,2,2,1,0,0,1,1,0,1,1,0,1,7,2,0,1,6,0,0,2,1,2,2,1,0,1,1,2,1,3,4,0
29020,Kokomo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,3,0,0,0,0,1,1,2,4,2,2,0,0,6,0,2,0,1,0,1,4,1,2,0,1,0,0,2,0,0,1,0,0,1,1,0,0,1,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,2,0,2,0,0,2,2,2,1,0,0,0,1,2,1,9,0,1,0,5,2,2,0,0,1,2,1,4,1,1,0,2,0,6,0,1,0,0,1,0,3,1,1,1,0,1,0,2,1,1,1,1,0,0,4,3,0,2,0,0,0,0,1,17,0,2,1
